a
Player: {
a, name
Goblin, name
1, level
34, x-cord
75, y-cord
}
{
Goblin, name
1, level
34, x-cord
86, y-cord
}
{
Goblin, name
1, level
34, x-cord
90, y-cord
}
{
Goblin, name
1, level
34, x-cord
94, y-cord
}
{
Goblin, name
1, level
34, x-cord
95, y-cord
}
{
Goblin, name
1, level
35, x-cord
3, y-cord
}
{
Goblin, name
1, level
35, x-cord
15, y-cord
}
{
Goblin, name
1, level
35, x-cord
21, y-cord
}
{
Goblin, name
1, level
35, x-cord
28, y-cord
}
{
Goblin, name
1, level
35, x-cord
31, y-cord
}
{
Goblin, name
1, level
35, x-cord
33, y-cord
}
{
Goblin, name
1, level
35, x-cord
37, y-cord
}
{
Goblin, name
1, level
35, x-cord
40, y-cord
}
{
Goblin, name
1, level
35, x-cord
42, y-cord
}
{
Goblin, name
1, level
35, x-cord
57, y-cord
}
{
Goblin, name
1, level
35, x-cord
58, y-cord
}
{
Goblin, name
1, level
35, x-cord
62, y-cord
}
{
Goblin, name
1, level
35, x-cord
71, y-cord
}
{
Goblin, name
1, level
35, x-cord
84, y-cord
}
{
Goblin, name
1, level
35, x-cord
97, y-cord
}
{
Goblin, name
1, level
36, x-cord
7, y-cord
}
{
Goblin, name
1, level
36, x-cord
8, y-cord
}
{
Goblin, name
1, level
36, x-cord
12, y-cord
}
{
Goblin, name
1, level
36, x-cord
14, y-cord
}
{
Goblin, name
1, level
36, x-cord
22, y-cord
}
{
Goblin, name
1, level
36, x-cord
29, y-cord
}
{
Goblin, name
1, level
36, x-cord
43, y-cord
}
{
Goblin, name
1, level
36, x-cord
58, y-cord
}
{
Goblin, name
1, level
36, x-cord
60, y-cord
}
{
Goblin, name
1, level
36, x-cord
75, y-cord
}
{
Goblin, name
1, level
36, x-cord
84, y-cord
}
{
Goblin, name
1, level
36, x-cord
93, y-cord
}
{
Goblin, name
1, level
36, x-cord
97, y-cord
}
{
Goblin, name
1, level
37, x-cord
10, y-cord
}
{
Goblin, name
1, level
37, x-cord
29, y-cord
}
{
Goblin, name
1, level
37, x-cord
39, y-cord
}
{
Goblin, name
1, level
37, x-cord
43, y-cord
}
{
Goblin, name
1, level
37, x-cord
66, y-cord
}
{
Goblin, name
1, level
37, x-cord
70, y-cord
}
{
Goblin, name
1, level
37, x-cord
79, y-cord
}
{
Goblin, name
1, level
37, x-cord
83, y-cord
}
{
Goblin, name
1, level
37, x-cord
91, y-cord
}
{
Goblin, name
1, level
37, x-cord
93, y-cord
}
{
Goblin, name
1, level
37, x-cord
94, y-cord
}
{
Goblin, name
1, level
38, x-cord
5, y-cord
}
{
Goblin, name
1, level
38, x-cord
6, y-cord
}
{
Goblin, name
1, level
38, x-cord
7, y-cord
}
{
Goblin, name
1, level
38, x-cord
10, y-cord
}
{
Goblin, name
1, level
38, x-cord
11, y-cord
}
{
Goblin, name
1, level
38, x-cord
16, y-cord
}
{
Goblin, name
1, level
38, x-cord
19, y-cord
}
{
Goblin, name
1, level
38, x-cord
27, y-cord
}
{
Goblin, name
1, level
38, x-cord
63, y-cord
}
{
Goblin, name
1, level
38, x-cord
77, y-cord
}
{
Goblin, name
1, level
38, x-cord
84, y-cord
}
{
Goblin, name
1, level
38, x-cord
85, y-cord
}
{
Goblin, name
1, level
39, x-cord
3, y-cord
}
{
Goblin, name
1, level
39, x-cord
4, y-cord
}
{
Goblin, name
1, level
39, x-cord
20, y-cord
}
{
Goblin, name
1, level
39, x-cord
23, y-cord
}
{
Goblin, name
1, level
39, x-cord
24, y-cord
}
{
Goblin, name
1, level
39, x-cord
38, y-cord
}
{
Goblin, name
1, level
39, x-cord
40, y-cord
}
{
Goblin, name
1, level
39, x-cord
42, y-cord
}
{
Goblin, name
1, level
39, x-cord
43, y-cord
}
{
Goblin, name
1, level
39, x-cord
52, y-cord
}
{
Goblin, name
1, level
39, x-cord
57, y-cord
}
{
Goblin, name
1, level
39, x-cord
59, y-cord
}
{
Goblin, name
1, level
39, x-cord
65, y-cord
}
{
Goblin, name
1, level
39, x-cord
68, y-cord
}
{
Goblin, name
1, level
39, x-cord
69, y-cord
}
{
Goblin, name
1, level
39, x-cord
72, y-cord
}
{
Goblin, name
1, level
39, x-cord
74, y-cord
}
{
Goblin, name
1, level
39, x-cord
80, y-cord
}
{
Goblin, name
1, level
39, x-cord
83, y-cord
}
{
Goblin, name
1, level
39, x-cord
90, y-cord
}
{
Goblin, name
1, level
40, x-cord
1, y-cord
}
{
Goblin, name
1, level
40, x-cord
7, y-cord
}
{
Goblin, name
1, level
40, x-cord
17, y-cord
}
{
Goblin, name
1, level
40, x-cord
33, y-cord
}
{
Goblin, name
1, level
40, x-cord
52, y-cord
}
{
Goblin, name
1, level
40, x-cord
55, y-cord
}
{
Goblin, name
1, level
40, x-cord
64, y-cord
}
{
Goblin, name
1, level
40, x-cord
72, y-cord
}
{
Goblin, name
1, level
40, x-cord
84, y-cord
}
{
Goblin, name
1, level
40, x-cord
90, y-cord
}
{
Goblin, name
1, level
40, x-cord
99, y-cord
}
};
Map: {
0101100100001110001100101010000101101001110010010000010010100101101001101000111000110101101110110110
0010001010001011100110110000011001111110011110110001100011010101000010101111110101110101010100110101
0000002110000211111111111200211000110212121112110021000021000020222111111112021111112022111111111011
0000001112121011111111111122112221102111111111112111000011222121111111111000111121111111111111111111
0120002111111111111111120211111111000111111121111102100011111111111111112221111111111111002110202111
0112001111111111111121111111111111220211111111111211110000211102111111111111111111111110000021210110
1111111102111111110111111111111111100011111111111111112002111211102121111102121111111100000021111111
1111111001111111112111211110011111000021111111011111111121111111211110011111111111111200000021111111
1001111111111111111121111120011111200021011110211111110111111111111112021111011111111111000021111100
0001111111111111111111111110001111120000211121111011112110011111111111021111111111111111122111111120
0111111111111111111111111110000110020002111111120011111111212111001110111111111111111211111121211111
1111111111111121111111111100000212112211001111000000111111111111021102111111111102102111111111111110
0011111111111111111111111220000011111110000110000220021111120021111212111111102111111111111111111111
0001111001111111111111111100000001111122221110001110011112122021111111111111011111111111111111111110
0021111000111111111102111000000000011111111112111120021011110001100001100011111111111111112111001111
0111111200011111111100112122000000011111111111111102121021120000000000000021011111111100211100002111
0110111110021111111100001111000000002111100211112002100001121000000000000021001111100211110000001110
0102111120001121111220002111220000002121121002100211000000011100000210000021221111121111102122211120
1021111111212111111111210111110000021100111000000111000000002000001112100001111111111111011111111110
1001111111111111100011100011110000111100021000000002200000021222211111110002111111021120011111111101
1021111111111111122111020021112000211112111202100001100210211111111111110021111110211100002111011100
0111111111111111111112111011111000011111111111100000211111000200211111200210211121111100001112002111
0111111111000001111111110211110000021102111111112200111111000021011111200011111111111120021112001111
0111111110000021111111002111211220021211111111111120211111200211002121222111111111111110001110000111
1011111100000111111110021111111112111111211111111111111111121111111111111111111111111122000112202111
1021102112221111111122111112111111111002111011111121111111111111111111211111111111111111221111111101
1111211111111111111111111111111011111000020011111111212112111111111111000011111111111111111111121200
0021111121111111111111211111100211112000000011111111111111112121111110000021111021112111211111111120
1001111111111111120211111111202111110000000021111111111111111111110110000011112121011111111111111100
1002111102111112111000111111111101102000000211111111111111111111111110000021111111111111110011111000
0021111110111111112000111110111210111100000111111021111111120211111110212101110011111111112002111000
0111111110011120210000021100111111111110002111111111021110001002111111111111110011110111111210110001
1011111211111111102200021122011111111100021111211110211120000000111110021111110011102111111100022000
1021111111110111111112111111001111112200021110011121020211000000211112111200210002001111111122110000
1011112111200211111111112111200211111120211100210111100212121221111111111111100021121111111111110210
0011111111111111111111021111120111111111111221111111000011111111101111111112000011111111121111111111
1002100111111111000211111111111111111111111111011112000021111102002100210211100210021002111111102110
1001100211111000220211111111111102121111100110021210000011111010001100102111111112111202111121111120
1121211111110002111111111111001110021011222110211100000021111221021112110111112111111111110211120000
1011111111112002111111111110002112000211111111111222100011111111111211121111111111011111111111110000
1100101111101110010011111111001011000111101011110001110111100011100001001110111010011000011010110101
}
