Test
Player: {
Test, name
Goblin, name
1, level
36, x-cord
15, y-cord
}
{
Goblin, name
1, level
36, x-cord
18, y-cord
}
{
Goblin, name
1, level
36, x-cord
24, y-cord
}
{
Goblin, name
1, level
36, x-cord
27, y-cord
}
{
Goblin, name
1, level
36, x-cord
30, y-cord
}
{
Goblin, name
1, level
36, x-cord
32, y-cord
}
{
Goblin, name
1, level
36, x-cord
37, y-cord
}
{
Goblin, name
1, level
36, x-cord
55, y-cord
}
{
Goblin, name
1, level
36, x-cord
59, y-cord
}
{
Goblin, name
1, level
36, x-cord
72, y-cord
}
{
Goblin, name
1, level
36, x-cord
74, y-cord
}
{
Goblin, name
1, level
36, x-cord
82, y-cord
}
{
Goblin, name
1, level
36, x-cord
87, y-cord
}
{
Goblin, name
1, level
36, x-cord
91, y-cord
}
{
Goblin, name
1, level
36, x-cord
92, y-cord
}
{
Goblin, name
1, level
36, x-cord
97, y-cord
}
{
Goblin, name
1, level
37, x-cord
3, y-cord
}
{
Goblin, name
1, level
37, x-cord
4, y-cord
}
{
Goblin, name
1, level
37, x-cord
5, y-cord
}
{
Goblin, name
1, level
37, x-cord
10, y-cord
}
{
Goblin, name
1, level
37, x-cord
22, y-cord
}
{
Goblin, name
1, level
37, x-cord
27, y-cord
}
{
Goblin, name
1, level
37, x-cord
36, y-cord
}
{
Goblin, name
1, level
37, x-cord
41, y-cord
}
{
Goblin, name
1, level
37, x-cord
42, y-cord
}
{
Goblin, name
1, level
37, x-cord
50, y-cord
}
{
Goblin, name
1, level
37, x-cord
55, y-cord
}
{
Goblin, name
1, level
37, x-cord
58, y-cord
}
{
Goblin, name
1, level
37, x-cord
63, y-cord
}
{
Goblin, name
1, level
37, x-cord
72, y-cord
}
{
Goblin, name
1, level
37, x-cord
81, y-cord
}
{
Goblin, name
1, level
37, x-cord
85, y-cord
}
{
Goblin, name
1, level
37, x-cord
86, y-cord
}
{
Goblin, name
1, level
37, x-cord
91, y-cord
}
{
Goblin, name
1, level
38, x-cord
3, y-cord
}
{
Goblin, name
1, level
38, x-cord
7, y-cord
}
{
Goblin, name
1, level
38, x-cord
8, y-cord
}
{
Goblin, name
1, level
38, x-cord
9, y-cord
}
{
Goblin, name
1, level
38, x-cord
14, y-cord
}
{
Goblin, name
1, level
38, x-cord
15, y-cord
}
{
Goblin, name
1, level
38, x-cord
17, y-cord
}
{
Goblin, name
1, level
38, x-cord
21, y-cord
}
{
Goblin, name
1, level
38, x-cord
26, y-cord
}
{
Goblin, name
1, level
38, x-cord
50, y-cord
}
{
Goblin, name
1, level
38, x-cord
53, y-cord
}
{
Goblin, name
1, level
38, x-cord
54, y-cord
}
{
Goblin, name
1, level
38, x-cord
56, y-cord
}
{
Goblin, name
1, level
38, x-cord
65, y-cord
}
{
Goblin, name
1, level
38, x-cord
77, y-cord
}
{
Goblin, name
1, level
38, x-cord
88, y-cord
}
{
Goblin, name
1, level
39, x-cord
4, y-cord
}
{
Goblin, name
1, level
39, x-cord
18, y-cord
}
{
Goblin, name
1, level
39, x-cord
20, y-cord
}
{
Goblin, name
1, level
39, x-cord
21, y-cord
}
{
Goblin, name
1, level
39, x-cord
23, y-cord
}
{
Goblin, name
1, level
39, x-cord
26, y-cord
}
{
Goblin, name
1, level
39, x-cord
27, y-cord
}
{
Goblin, name
1, level
39, x-cord
40, y-cord
}
{
Goblin, name
1, level
39, x-cord
42, y-cord
}
{
Goblin, name
1, level
39, x-cord
43, y-cord
}
{
Goblin, name
1, level
39, x-cord
52, y-cord
}
{
Goblin, name
1, level
39, x-cord
57, y-cord
}
{
Goblin, name
1, level
39, x-cord
63, y-cord
}
{
Goblin, name
1, level
39, x-cord
94, y-cord
}
{
Goblin, name
1, level
39, x-cord
96, y-cord
}
{
Goblin, name
1, level
40, x-cord
1, y-cord
}
{
Goblin, name
1, level
40, x-cord
11, y-cord
}
{
Goblin, name
1, level
40, x-cord
20, y-cord
}
{
Goblin, name
1, level
40, x-cord
37, y-cord
}
{
Goblin, name
1, level
40, x-cord
52, y-cord
}
{
Goblin, name
1, level
40, x-cord
56, y-cord
}
{
Goblin, name
1, level
40, x-cord
65, y-cord
}
{
Goblin, name
1, level
40, x-cord
69, y-cord
}
{
Goblin, name
1, level
40, x-cord
77, y-cord
}
{
Goblin, name
1, level
40, x-cord
94, y-cord
}
{
Goblin, name
1, level
40, x-cord
95, y-cord
}
{
Goblin, name
1, level
40, x-cord
96, y-cord
}
{
Goblin, name
1, level
40, x-cord
98, y-cord
}
};
Map: {
0100110110101111000110111100110110101100101001000100101010111011100110000001111111100010110011111110
0101001111100011000010101111100010001111000110100100110001011110111101100101100100101111110001011001
0000021102120021200021120211210212000210212121210000000021210200000212000000211110001111112000002120
1000211211112111110111111111111112002111111111100000000211111112121112000000011100011110111000002111
1000211111111110002111111111111110000111102111000000000210021111111100000222021000021001112100001110
1102111112111100021102121111111100000011111111220000000210001111111220001111111222111021111100021120
0121111111111120001021110211111000002111120021112000002100000211111111211102111111111111111100011120
1011111111110111021111100000110000021111120211110210021100000011111111111202111111111111101200001100
0121111112021112111111220000000000211111111111121110011000000000111111111211111111111111202120021000
1021111111111111111111112000000000211101111000111100000000000002111111111111111111111101212102121220
0021112111111111111110011200000001112021100000001122222000000001111111021111110211110000110211111110
0011011111102111111110001100210002110011000000001111110000000000111020021111102111122000002111112120
1121111111111110021100021121110002122211000000000212102120000000210111111111000211111000021100210110
0011111111111100021100021111100021111111000000002111111111000002111111111120000211111100011121111111
0100011111121212111122111011110211111111200210021111100021000211111111111100000002111000001111111110
1000011111111111111111111111121011111111111112111001000021221111111111100000000001112200000111100100
0121111100111111111121011111111101111110210211110000000001111111111111102222000211111122002111222111
1111111202111101111111111111111102102111100211100000000002111111111111111111121111111111211111111111
1002111111111021112021211111111202102111121111200000000000111112111111111111111100210111111102021021
1111111002121111102111100211111110011111111111112200000000211111021111100111111120002111111112111210
0111111001111111211111000111021100021111111111111100021002111110211111100001111112211111111111111111
1011110000210211111111200000211000021111211110211000211021121111111111100021111111111110211111112120
1111100000212000111111112002110000001111111121112102100111111111111111112111111111111111111111111100
0111122221111002111111111111111221200111102111111111120211112111111111111111111121111111111111111220
1111111111111211111000002111111111110212211110111111121111111111111110002111100000111111111111111111
0011111111111111112000002111111111111111111121111111111111111102100222021111120000011112102111112111
1102111111111111111200002111111111111111102111112111111111111210200011111111110000011111111111111111
1021111111111111111112211111112111111111101111111110011111101100020021111111100220021111111111111110
1001111111111111211111111002111112021211002111111122211111220000000211111111101111201111111111111111
0021111111110011111111012001111110021111021111111111111111112200002111111111111111100021111211111110
1111111111100011112120002102111102111110021111111110211111111112111111110021111102100211111111111120
1111111111000021111112000011111111111200211111121102111111111111111111110021211211121112111211121110
0111110212000001110211000021211111111102111100211111110011111111111111111100211111111210002111111120
0011120211100002100212200011111001111110111220001111110212111121111111111100011021111112000211111110
0111111111100021111111112121112002111120211110000111111111111101111102102100210011121111000011111111
1111111111110011111111111111111111102111001100002111111011111200211100210121112211111111200211111111
1011112111110021021111111111111011001112002100001111111111111102111102111111021111111111221110011110
0021111111100011201102100111110002101111011120002111111111111021111110111000021111111111111100000021
0011021111200111111111121111110011111112111110002112111111110211111112111000211111111211111122220000
1122111121100021011111111111111111111111111102210011111111101111111111111002111110021111111111111200
0100011000010000001011001100011111100111101010110011110110011101111001111000111101001001111110111111
}
